X,Y,id,note,icon_url,Db_Export_IDScheda,Db_Export_DescStrada,Db_Export_TipiImpiantiprg_Descrizione,Db_Export_noteprg,Db_Export_NumeroTransenne,Db_Export_GruppiImpianti_Descrizione,Db_Export_NumeroFoto
12.3818836455299,44.2245059085167,"1",,./0.png,"1",VIALE ITALIA   fronte IRPINIA VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1175
12.3812714994861,44.2253284228258,"3",,./0.png,"3",VIALE ITALIA Fronte n.c. 364  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1177
12.3806930234507,44.2261589851956,"4",,./0.png,"4",VIALE ITALIA   fronte LOMELLINA VIA,Segnaletica monopalo 100x20,INSTALLARE A SX DELL'INGRESSO,"0",Segnaletica direzionale privata,IMG_1178
12.3803017327542,44.2266635303424,"5",,./0.png,"5",VIALE ITALIA   fronte CASERTA VIA,Segnaletica monopalo 100x20,INSTALLARE A SX DELL'INGRESSO,"0",Segnaletica direzionale privata,IMG_1179
12.3797148823366,44.227470729148,"6",,./0.png,"6",VIALE ITALIA   fronte PUGLIE VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1180
12.3792007566006,44.2281942115225,"7",,./0.png,"7",VIALE ITALIA Fronte n.c. 334  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1181
12.3757626871502,44.2328197122026,"9",,./0.png,"9",VIALE ITALIA Fronte n.c. 308  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1183
12.3752723123464,44.2334989406009,"10",,./0.png,"10",VIALE ITALIA Fronte n.c. 302  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1184
12.3748735829391,44.2340459172869,"11",,./0.png,"11",VIALE ITALIA    quasi fronte LAZIO VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1185
12.3749212185636,44.233966498955,"576",,./0.png,"576",VIALE ITALIA   fronte LAZIO  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1889
12.3743870868941,44.2347064137423,"13",,./0.png,"13",VIALE ITALIA Fronte n.c. 286  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1189
12.3739995212526,44.2352542129273,"14",,./0.png,"14",VIALE ITALIA Fronte n.c. 280  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1190
